time,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
0,0,0,0,0,0,1.66058e-05,0,0,0,0,0,0
1,3.34131e-34,6.7312e-32,1.28946e-26,8.69041e-12,9.96345e-21,1.66058e-05,3.29991e-55,2.99686e-16,3.27013e-52,3.3775e-31,2.76399e-13,1.00226e-42
2,3.34078e-34,1.24717e-31,2.57514e-26,1.72047e-11,9.96344e-21,1.66058e-05,9.22942e-55,8.38293e-16,8.64217e-52,9.43593e-31,7.2865e-13,2.00434e-42
3,3.34025e-34,-3.07941e-31,3.85181e-26,2.53093e-11,9.96343e-21,1.66058e-05,2.43002e-54,2.40958e-15,1.9111e-51,2.645e-30,1.58959e-12,3.00597e-42
4,3.33971e-34,-4.07477e-31,5.13461e-26,3.36924e-11,9.96342e-21,1.66057e-05,3.31572e-54,3.2789e-15,2.61152e-51,3.60169e-30,2.17273e-12,4.0079e-42
5,3.33918e-34,-7.51102e-31,6.41387e-26,4.19149e-11,9.9634e-21,1.66057e-05,4.55979e-54,4.55542e-15,3.5118e-51,5.03844e-30,2.91603e-12,5.00966e-42
6,3.33864e-34,-1.0514e-29,7.68968e-26,4.99927e-11,9.96339e-21,1.66057e-05,6.1452e-54,6.6368e-15,4.61116e-51,1.58696e-29,3.80327e-12,6.01123e-42
7,3.33811e-34,-3.64506e-29,8.9621e-26,5.79374e-11,9.96338e-21,1.66057e-05,8.05944e-54,9.81578e-15,5.90903e-51,4.26577e-29,4.8225e-12,7.01263e-42
8,3.33757e-34,-7.8561e-29,1.02311e-25,6.5749e-11,9.96336e-21,1.66057e-05,1.03025e-53,1.40924e-14,7.4054e-51,8.54027e-29,5.97373e-12,8.01386e-42
9,3.33704e-34,-1.36845e-28,1.14968e-25,7.34275e-11,9.96335e-21,1.66057e-05,1.28744e-53,1.94665e-14,9.10027e-51,1.44105e-28,7.25694e-12,9.0149e-42
10,3.33651e-34,-2.11303e-28,1.27591e-25,8.09729e-11,9.96334e-21,1.66057e-05,1.57751e-53,2.59383e-14,1.09937e-50,2.18764e-28,8.67215e-12,1.00158e-41
11,3.33597e-34,-3.01935e-28,1.40179e-25,8.83852e-11,9.96333e-21,1.66057e-05,1.90046e-53,3.35077e-14,1.30855e-50,3.09379e-28,1.02193e-11,1.10165e-41
12,3.33544e-34,-4.0874e-28,1.52734e-25,9.56644e-11,9.96331e-21,1.66057e-05,2.2563e-53,4.21747e-14,1.53759e-50,4.15952e-28,1.18985e-11,1.2017e-41
13,3.3349e-34,-5.31719e-28,1.65255e-25,1.0281e-10,9.9633e-21,1.66057e-05,2.64502e-53,5.19393e-14,1.78648e-50,5.38482e-28,1.37097e-11,1.30173e-41
14,3.33437e-34,-6.70872e-28,1.77743e-25,1.09824e-10,9.96329e-21,1.66057e-05,3.06662e-53,6.28015e-14,2.05522e-50,6.76968e-28,1.56529e-11,1.40175e-41
15,3.33384e-34,-8.26199e-28,1.90196e-25,1.16703e-10,9.96328e-21,1.66056e-05,3.5211e-53,7.47613e-14,2.34381e-50,8.31412e-28,1.7728e-11,1.50175e-41
16,3.3333e-34,-9.977e-28,2.02615e-25,1.2345e-10,9.96326e-21,1.66056e-05,4.00847e-53,8.78187e-14,2.65225e-50,1.00181e-27,1.99352e-11,1.60173e-41
