time,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
0,0,0,0,0,0,1.66058e-05,0,0,0,0,0,0
1,3.34169e-32,1.03026e-25,1.28563e-22,8.96712e-13,9.83478e-21,1.66058e-05,1.71783e-44,1.92641e-22,6.8731e-42,2.46535e-26,8.49588e-21,9.93926e-37
2,3.34154e-32,3.06295e-25,2.5522e-22,1.79342e-12,9.70774e-21,1.66058e-05,1.33656e-43,1.64456e-21,1.55104e-41,2.00365e-25,3.24558e-20,1.97091e-36
3,3.34139e-32,5.79275e-25,3.79981e-22,2.69014e-12,9.58235e-21,1.66058e-05,3.67403e-43,4.61866e-21,2.25873e-41,5.56444e-25,7.14201e-20,2.93106e-36
4,3.34123e-32,9.52428e-25,5.0288e-22,3.58685e-12,9.45858e-21,1.66058e-05,6.16954e-43,9.978e-21,4.58352e-41,1.05762e-24,1.2388e-19,3.87472e-36
5,3.34108e-32,1.4472e-24,6.23939e-22,4.48356e-12,9.3364e-21,1.66058e-05,8.10907e-43,1.833e-20,9.77321e-41,1.67906e-24,1.88775e-19,4.80215e-36
6,3.34093e-32,1.96386e-24,7.43177e-22,5.38027e-12,9.21581e-21,1.66058e-05,1.21989e-42,3.01162e-20,1.29576e-40,2.51748e-24,2.65331e-19,5.7136e-36
7,3.34077e-32,2.33338e-24,8.60627e-22,6.27698e-12,9.09677e-21,1.66058e-05,2.30269e-42,4.60854e-20,5.88043e-41,3.73682e-24,3.52241e-19,6.60955e-36
8,3.34062e-32,2.76027e-24,9.76348e-22,7.17369e-12,8.97923e-21,1.66058e-05,2.64441e-42,6.74775e-20,1.3794e-40,5.12424e-24,4.47337e-19,7.4904e-36
9,3.34047e-32,4.03529e-24,1.09055e-21,8.07041e-12,8.86302e-21,1.66058e-05,-3.18104e-42,9.89756e-20,1.33544e-39,5.85756e-24,5.42432e-19,8.3577e-36
10,3.34031e-32,6.23571e-24,1.20326e-21,8.96712e-12,8.74811e-21,1.66058e-05,-1.57038e-41,1.41037e-19,3.74593e-39,5.85646e-24,6.36728e-19,9.21159e-36
11,3.34016e-32,9.36151e-24,1.31448e-21,9.86383e-12,8.6345e-21,1.66058e-05,-3.49239e-41,1.93663e-19,7.3694e-39,5.12094e-24,7.30224e-19,1.00521e-35
12,3.34e-32,1.34127e-23,1.4242e-21,1.07605e-11,8.5222e-21,1.66058e-05,-6.08412e-41,2.56851e-19,1.22059e-38,3.651e-24,8.22919e-19,1.08792e-35
13,3.33985e-32,1.83893e-23,1.53242e-21,1.16573e-11,8.41121e-21,1.66058e-05,-9.34559e-41,3.30604e-19,1.82553e-38,1.44665e-24,9.14815e-19,1.16929e-35
14,3.3397e-32,2.42913e-23,1.63915e-21,1.2554e-11,8.30152e-21,1.66058e-05,-1.32768e-40,4.1492e-19,2.55177e-38,-1.49213e-24,1.00591e-18,1.24931e-35
15,3.33954e-32,3.11186e-23,1.74439e-21,1.34507e-11,8.19313e-21,1.66058e-05,-1.78777e-40,5.098e-19,3.39932e-38,-5.16532e-24,1.09621e-18,1.328e-35
16,3.33939e-32,3.88714e-23,1.84813e-21,1.43474e-11,8.08605e-21,1.66058e-05,-2.31484e-40,6.15243e-19,4.36816e-38,-9.57293e-24,1.1857e-18,1.40535e-35
17,3.33924e-32,4.75496e-23,1.95037e-21,1.52441e-11,7.98027e-21,1.66058e-05,-2.90888e-40,7.3125e-19,5.45829e-38,-1.4715e-23,1.2744e-18,1.48136e-35
18,3.33908e-32,5.71531e-23,2.05113e-21,1.61408e-11,7.8758e-21,1.66058e-05,-3.56989e-40,8.5782e-19,6.66973e-38,-2.05914e-23,1.3623e-18,1.55602e-35
19,3.33893e-32,6.7682e-23,2.15038e-21,1.70375e-11,7.77263e-21,1.66058e-05,-4.29787e-40,9.94954e-19,8.00247e-38,-2.72023e-23,1.44939e-18,1.62935e-35
20,3.33878e-32,7.91364e-23,2.24814e-21,1.79342e-11,7.67076e-21,1.66058e-05,-5.09283e-40,1.14265e-18,9.4565e-38,-3.45476e-23,1.53569e-18,1.70134e-35
21,3.33862e-32,9.15161e-23,2.34441e-21,1.88309e-11,7.5702e-21,1.66058e-05,-5.95476e-40,1.30091e-18,1.10318e-37,-4.26273e-23,1.62118e-18,1.77198e-35
22,3.33847e-32,1.04821e-22,2.43918e-21,1.97277e-11,7.47095e-21,1.66058e-05,-6.88367e-40,1.46974e-18,1.27285e-37,-5.14414e-23,1.70588e-18,1.84129e-35
